2024-02-07 00:02:17 |INFO  |xxl-job, executor ExecutorRegistryThread |TimeBasedFilter.java:24 |ljl.filter.TimeBasedFilter |






2024-02-07 00:02:18 |INFO  |xxl-job, executor ExecutorRegistryThread |ExecutorRegistryThread.java:54 |com.xxl.job.core.thread.ExecutorRegistryThread |>>>>>>>>>>> xxl-job registry fail, registryParam:RegistryParam{registryGroup='EXECUTOR', registryKey='demo-service-impl', registryValue='http://192.168.0.102:9916/'}, registryResult:ReturnT [code=500, msg=xxl-job remoting error(Read timed out), for url : http://114.55.116.140:8120/xxl-job-admin/api/registry, content=null]
2024-02-07 00:02:18 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[03e0b019-453e-4f2c-ac3f-ee1caa8e19b0] Server healthy check fail, currentConnection = 1707234735028_120.227.130.72_2905
2024-02-07 00:02:18 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[03e0b019-453e-4f2c-ac3f-ee1caa8e19b0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
2024-02-07 00:02:21 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[03e0b019-453e-4f2c-ac3f-ee1caa8e19b0] Success to connect a server [116.62.71.84:8848], connectionId = 1707235342576_120.227.130.72_2352
2024-02-07 00:02:21 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[03e0b019-453e-4f2c-ac3f-ee1caa8e19b0] Abandon prev connection, server is 116.62.71.84:8848, connectionId is 1707234735028_120.227.130.72_2905
2024-02-07 00:02:21 |INFO  |com.alibaba.nacos.client.remote.worker |RpcClient.java:591 |com.alibaba.nacos.common.remote.client |Close current connection 1707234735028_120.227.130.72_2905
2024-02-07 00:02:21 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[03e0b019-453e-4f2c-ac3f-ee1caa8e19b0] Notify disconnected event to listeners
2024-02-07 00:02:21 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[03e0b019-453e-4f2c-ac3f-ee1caa8e19b0] Notify connected event to listeners.
2024-02-07 00:22:30 |INFO  |com.alibaba.nacos.client.remote.worker |TimeBasedFilter.java:24 |ljl.filter.TimeBasedFilter |






2024-02-07 00:22:30 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[03e0b019-453e-4f2c-ac3f-ee1caa8e19b0] Server healthy check fail, currentConnection = 1707235342576_120.227.130.72_2352
2024-02-07 00:22:30 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[03e0b019-453e-4f2c-ac3f-ee1caa8e19b0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
