2024-02-28 01:18:37 |INFO  |com.alibaba.nacos.client.remote.worker |TimeBasedFilter.java:24 |ljl.filter.TimeBasedFilter |






2024-02-28 01:18:37 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[aa85f831-1ccc-40b7-8cd1-40cd03a3e564] Server healthy check fail, currentConnection = 1709044916782_120.227.129.112_46518
2024-02-28 01:18:38 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[aa85f831-1ccc-40b7-8cd1-40cd03a3e564] Try to reconnect to a new server, server is  not appointed, will choose a random server.
2024-02-28 01:18:39 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[aa85f831-1ccc-40b7-8cd1-40cd03a3e564] Success to connect a server [116.62.71.84:8848], connectionId = 1709054320253_120.227.129.112_46348
2024-02-28 01:18:39 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[aa85f831-1ccc-40b7-8cd1-40cd03a3e564] Abandon prev connection, server is 116.62.71.84:8848, connectionId is 1709044916782_120.227.129.112_46518
2024-02-28 01:18:39 |INFO  |com.alibaba.nacos.client.remote.worker |RpcClient.java:591 |com.alibaba.nacos.common.remote.client |Close current connection 1709044916782_120.227.129.112_46518
2024-02-28 01:18:40 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[aa85f831-1ccc-40b7-8cd1-40cd03a3e564] Notify disconnected event to listeners
2024-02-28 01:18:40 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[aa85f831-1ccc-40b7-8cd1-40cd03a3e564] Notify connected event to listeners.
2024-02-28 01:23:48 |INFO  |nacos-grpc-client-executor-1857 |TimeBasedFilter.java:24 |ljl.filter.TimeBasedFilter |






2024-02-28 01:23:48 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[aa85f831-1ccc-40b7-8cd1-40cd03a3e564] Try to reconnect to a new server, server is  not appointed, will choose a random server.
2024-02-28 01:23:49 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[aa85f831-1ccc-40b7-8cd1-40cd03a3e564] Success to connect a server [116.62.71.84:8848], connectionId = 1709054630343_120.227.129.112_46865
2024-02-28 01:23:49 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[aa85f831-1ccc-40b7-8cd1-40cd03a3e564] Abandon prev connection, server is 116.62.71.84:8848, connectionId is 1709054320253_120.227.129.112_46348
2024-02-28 01:23:49 |INFO  |com.alibaba.nacos.client.remote.worker |RpcClient.java:591 |com.alibaba.nacos.common.remote.client |Close current connection 1709054320253_120.227.129.112_46348
